"Date of Download: 2024-06-06_13:40:50"
"Search Parameters: Data Level:all  Trait List:  Trial List:12997  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava mosaic disease severity|at harvesting|COMP:0000294","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","number of planted stakes per plot counting|CO_334:0000159","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","root number per plot counting|CO_334:0000011","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","61468","AR35-1","AR35,AR351","plot","8251575","2023127DMEPR_cham_rep1_AR351_6","1","1","6","2","1","test","","0","143","12.4","25","310","5","12","25","24.0529074973544"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","340252","CR138","","plot","8251574","2023127DMEPR_cham_rep1_CR138_9","1","1","9","2","4","test","","0","160","12","25","302","6","9","24","21.3836114421931"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","2732020","CR24-16","CR241","plot","8251584","2023127DMEPR_cham_rep1_CR241_2","1","1","2","1","2","test","","0","298","25.6666666666667","25","298","6","10","20","24.2987012987013"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","274835","CR52","","plot","8251583","2023127DMEPR_cham_rep1_CR52_7","1","1","7","2","2","test","","0","123","22","25","305","7","11","23","28.7173533083645"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","4991871","IBA920057","IBA057","plot","8251570","2023127DMEPR_cham_rep1_IBA057_8","1","1","8","2","3","test","","0","398","7","25","398","8","4","25","10.4991237387148"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","4991822","IITA-TMS-IBA-980581","IBA581","plot","8251591","2023127DMEPR_cham_rep1_IBA581_5","1","1","5","1","5","test","","0","45","23.3333333333333","25","365","6","12","25","22.1307262569832"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","2451401","KU50","","plot","8251581","2023127DMEPR_cham_rep1_KU50_3","1","1","3","1","3","check","","1","365","27.7777777777778","25","365","9","13","25","23.5701333333333"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","5706299","Rayong72","R72","plot","8251576","2023127DMEPR_cham_rep1_R72_1","1","1","1","1","1","check","","7","135","39.75","25","245","8","15","25","25.563418729616"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","39671","TMEB419","","plot","8251593","2023127DMEPR_cham_rep1_TMEB419_4","1","1","4","1","4","test","","0","360","31.75","25","360","8","10","25","21.2819976139346"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","61468","AR35-1","AR35,AR351","plot","8251595","2023127DMEPR_cham_rep2_AR351_19","2","2","19","4","4","test","","0","150","17.6","25","308","5","14","24","20.6116853932584"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12997","2023127DMEPR_cham","2023127DMEPR_cham","RCBD","","","","no","no","2023-June-01","2024-May-25","546","Chamkar Leu district","340252","CR138","","plot","8251573","2023127DMEPR_cham_rep2_CR138_18","2","2","18","4","3","test","","0","137","18.2857142857143","25","335","7","13","25","27.2477876106195"," (Operator: lizbethpino, Time: )"
