"Date of Download: 2024-06-06_13:47:50"
"Search Parameters: Data Level:all  Trait List:  Trial List:12999  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava mosaic disease severity|at harvesting|COMP:0000294","fresh root yield|CO_334:0000013","plant stands harvested counting|CO_334:0000010","root number per plot counting|CO_334:0000011","starch content percentage|CO_334:0000071","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","61468","AR35-1","AR35,AR351","plot","8251637","2023130DMEPR_anlo_rep1_AR35-1_6","1","1","6","2","5","test","","2","4.7","3","6","15.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","61463","CR13-8","","plot","8251638","2023130DMEPR_anlo_rep1_CR13-8_9","1","1","9","2","2","test","","0","15.0","9","9","17.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","2732021","CR24-3","CR243","plot","8251645","2023130DMEPR_anlo_rep1_CR24-3_10","1","1","10","2","1","test","","0","18.9","9","9","14.7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","42440","CR52A4","CR52A-4","plot","8251629","2023130DMEPR_anlo_rep1_CR52A-4_7","1","1","7","2","4","test","","0","31.1","9","14","20.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251619","IBA-920057","","plot","8251626","2023130DMEPR_anlo_rep1_IBA-920057_8","1","1","8","2","3","test","","2","20.6","9","12","20.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251620","IBA-980581","","plot","8251652","2023130DMEPR_anlo_rep1_IBA-980581_5","1","1","5","1","5","test","","0","31.1","9","14","18.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251618","KM325","","plot","8251644","2023130DMEPR_anlo_rep1_KM325_2","1","1","2","1","2","check","","1","23.6","7","8","19.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","2451401","KU50","","plot","8251631","2023130DMEPR_anlo_rep1_KU50_3","1","1","3","1","3","check","","6","32.5","8","17","21.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251621","R5","","plot","8251636","2023130DMEPR_anlo_rep1_R5_1","1","1","1","1","1","check","","2","30.6","9","11","22.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251622","TMEB-419","","plot","8251650","2023130DMEPR_anlo_rep1_TMEB-419_4","1","1","4","1","4","test","","2","34.4","9","12","22.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","61468","AR35-1","AR35,AR351","plot","8251648","2023130DMEPR_anlo_rep2_AR35-1_19","2","2","19","4","2","test","","3","12.5","6","8","18.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","61463","CR13-8","","plot","8251623","2023130DMEPR_anlo_rep2_CR13-8_18","2","2","18","4","3","test","","0","17.8","9","11","20.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","2732021","CR24-3","CR243","plot","8251633","2023130DMEPR_anlo_rep2_CR24-3_16","2","2","16","4","5","test","","2","32.8","9","10","20.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","42440","CR52A4","CR52A-4","plot","8251651","2023130DMEPR_anlo_rep2_CR52A-4_14","2","2","14","3","4","test","","1","24.4","9","15","22.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251619","IBA-920057","","plot","8251624","2023130DMEPR_anlo_rep2_IBA-920057_15","2","2","15","3","5","test","","0","13.9","9","9","14.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251620","IBA-980581","","plot","8251641","2023130DMEPR_anlo_rep2_IBA-980581_17","2","2","17","4","4","test","","0","36.1","9","16","16.0"," (Operator: lizbethpino, Time: )"
