"Date of Download: 2024-06-06_13:48:38"
"Search Parameters: Data Level:all  Trait List:  Trial List:13000  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava mosaic disease severity|at harvesting|COMP:0000294","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","number of planted stakes per plot counting|CO_334:0000159","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","2732021","CR24-3","CR243","plot","8251658","2023131DMEPR_stun_rep1_CR243_3","1","1","3","1","3","test","","0","100","31.3","25","220","9","24","9.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","274835","CR52","","plot","8251671","2023131DMEPR_stun_rep1_CR52_2","1","1","2","1","2","test","","0","90","26.0","25","250","9","22","9.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","4991871","IBA920057","IBA057","plot","8251666","2023131DMEPR_stun_rep1_IBA057_6","1","1","6","2","2","test","","0","210","10.6","25","320","8","25","5.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","4991822","IITA-TMS-IBA-980581","IBA581","plot","8251656","2023131DMEPR_stun_rep1_IBA581_8","1","1","8","2","4","test","","0","160","20.0","25","250","9","25","6.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","2864209","KM140","KM14","plot","8251663","2023131DMEPR_stun_rep1_KM14_1","1","1","1","1","1","check","","0","32","29.3","25","190","9","25","15.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","8251618","KM325","","plot","8251675","2023131DMEPR_stun_rep1_KM325_5","1","1","5","2","1","check","","0","160","34.4","25","250","9","25","16.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","2451401","KU50","","plot","8251660","2023131DMEPR_stun_rep1_KU50_7","1","1","7","2","3","check","","0","150","32.2","25","210","9","25","19.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","39671","TMEB419","","plot","8251673","2023131DMEPR_stun_rep1_TMEB419_4","1","1","4","1","4","test","","0","220","35.6","25","275","9","25","2.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","2732021","CR24-3","CR243","plot","8251655","2023131DMEPR_stun_rep2_CR243_11","2","2","11","3","3","test","","0","150","20.0","25","310","7","25","12.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","274835","CR52","","plot","8251661","2023131DMEPR_stun_rep2_CR52_16","2","2","16","4","4","test","","0","90","25.6","25","200","9","25","14.7"," (Operator: lizbethpino, Time: )"
