"Date of Download: 2024-06-06_13:49:11"
"Search Parameters: Data Level:all  Trait List:  Trial List:13001  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","number of planted stakes per plot counting|CO_334:0000159","plant height measurement in cm|CO_334:0000018","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","230102","CM9912-167","","plot","8251716","2023132DMEPR_naph_rep1_CM9912-167_2","1","1","2","1","2","test","","21.7","17.6","14","322","13","1","6","30.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","268567","GM1263-6","","plot","8251690","2023132DMEPR_naph_rep1_GM1263-6_12","1","1","12","2","3","test","","35.3","13.2","14","282","21.2","0","6","26.7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251681","Hanoi1","","plot","8251699","2023132DMEPR_naph_rep1_Hanoi1_8","1","1","8","2","7","test","","40.0","15.2","14","224","24","0","6","30.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251680","Hanoi2","","plot","8251698","2023132DMEPR_naph_rep1_Hanoi2_11","1","1","11","2","4","test","","31.0","15.8","14","230","18.6","0","6","20.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251678","Hanoi3","","plot","8251692","2023132DMEPR_naph_rep1_Hanoi3_13","1","1","13","2","2","test","","26.7","15.6","14","180","16","0","6","26.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251677","Hanoi4","","plot","8251687","2023132DMEPR_naph_rep1_Hanoi4_9","1","1","9","2","6","test","","22.3","13","14","220","13.4","0","6","20.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251679","Hanoi5","","plot","8251688","2023132DMEPR_naph_rep1_Hanoi5_6","1","1","6","1","6","test","","31.0","20","14","315","18.6","0","6","24.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","2451401","KU50","","plot","8251689","2023132DMEPR_naph_rep1_KU50_3","1","1","3","1","3","check","","30.0","19","14","335","18","0","6","28.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","3661327","Rayong11","","plot","8251708","2023132DMEPR_naph_rep1_Rayong11_14","1","1","14","2","1","check","","16.7","14","14","280","10","1","6","27.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","5706299","Rayong72","R72","plot","8251707","2023132DMEPR_naph_rep1_Rayong72_5","1","1","5","1","5","check","","47.0","18","14","310","28.2","0","6","29.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","140368","SM1127-8","","plot","8251706","2023132DMEPR_naph_rep1_SM1127-8_4","1","1","4","1","4","test","","29.3","19.6","14","303","17.6","0","6","28.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","140424","SM1669-5","","plot","8251683","2023132DMEPR_naph_rep1_SM1669-5_1","1","1","1","1","1","test","","34.3","18","14","319","20.6","1","6","31.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","154909","SM2775-2","","plot","8251691","2023132DMEPR_naph_rep1_SM2775-2_7","1","1","7","1","7","test","","45.0","22.6","14","300","27","0","6","28.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","154913","SM2775-4","","plot","8251717","2023132DMEPR_naph_rep1_SM2775-4_10","1","1","10","2","5","test","","23.0","14.4","14","240","13.8","0","5","28.7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","230102","CM9912-167","","plot","8251713","2023132DMEPR_naph_rep2_CM9912-167_19","2","2","19","3","5","test","","46.0","19","14","312","27.6","0","6","30.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","268567","GM1263-6","","plot","8251722","2023132DMEPR_naph_rep2_GM1263-6_23","2","2","23","4","6","test","","51.0","15","14","224","30.6","0","6","27.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251681","Hanoi1","","plot","8251693","2023132DMEPR_naph_rep2_Hanoi1_16","2","2","16","3","2","test","","38.3","14.8","14","214","23","0","6","29.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251680","Hanoi2","","plot","8251712","2023132DMEPR_naph_rep2_Hanoi2_28","2","2","28","4","1","test","","27.3","18.8","14","285","16.4","0","6","22.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251678","Hanoi3","","plot","8251705","2023132DMEPR_naph_rep2_Hanoi3_21","2","2","21","3","7","test","","31.7","18","14","250","19","0","6","24.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251677","Hanoi4","","plot","8251701","2023132DMEPR_naph_rep2_Hanoi4_18","2","2","18","3","4","test","","24.7","15","14","227","14.8","1","6","19.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251679","Hanoi5","","plot","8251723","2023132DMEPR_naph_rep2_Hanoi5_26","2","2","26","4","3","test","","34.7","18.8","14","260","20.8","0","6","25.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","2451401","KU50","","plot","8251684","2023132DMEPR_naph_rep2_KU50_20","2","2","20","3","6","check","","39.0","14.8","14","232","23.4","0","6","27.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","3661327","Rayong11","","plot","8251711","2023132DMEPR_naph_rep2_Rayong11_25","2","2","25","4","4","check","","40.7","12","14","215","24.4","0","6","27.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","5706299","Rayong72","R72","plot","8251694","2023132DMEPR_naph_rep2_Rayong72_27","2","2","27","4","2","check","","35.3","11.6","14","270","21.2","0","6","26.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","140368","SM1127-8","","plot","8251719","2023132DMEPR_naph_rep2_SM1127-8_22","2","2","22","4","7","test","","30.7","14.4","14","220","18.4","0","6","29.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","140424","SM1669-5","","plot","8251721","2023132DMEPR_naph_rep2_SM1669-5_17","2","2","17","3","3","test","","31.0","20","14","276","18.6","1","6","31.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","154909","SM2775-2","","plot","8251700","2023132DMEPR_naph_rep2_SM2775-2_24","2","2","24","4","5","test","","32.7","12.8","14","234","19.6","0","5","29.1"," (Operator: lizbethpino, Time: )"
