"Date of Download: 2024-06-06_13:54:29"
"Search Parameters: Data Level:all  Trait List:  Trial List:13004  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","fresh root yield|CO_334:0000013","number of planted stakes per plot counting|CO_334:0000159","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","root weight in water|CO_334:0000158","starch content percentage|CO_334:0000071","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","230102","CM9912-167","","plot","8251854","2023135DMEPR_blik_rep1_CM9912-167_5","1","1","5","1","5","test","","18.3","13","149","6","11","20.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","268567","GM1263-6","","plot","8251850","2023135DMEPR_blik_rep1_GM1263-6_10","1","1","10","2","1","test","","6.7","13","125","6","4","11.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","4991871","IBA920057","IBA057","plot","8251813","2023135DMEPR_blik_rep1_IBA920057_8","1","1","8","2","3","test","","4.3","13","138","6","2.6","11.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","4926239","IBA972205","","plot","8251820","2023135DMEPR_blik_rep1_IBA972205_3","1","1","3","1","3","test","","3.3","13","136","3","2","25.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","723","IITA-TMS-IBA980581","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","plot","8251810","2023135DMEPR_blik_rep1_IBA980581_15","1","1","15","3","5","test","","6.7","13","115","6","4","12.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","2451401","KU50","","plot","8251814","2023135DMEPR_blik_rep1_KU50_11","1","1","11","3","1","check","","22.3","13","149","6","13.4","24.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","8251809","KU50-15","","plot","8251838","2023135DMEPR_blik_rep1_KU50-15_4","1","1","4","1","4","test","","18.3","13","149","6","11","27.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","8251808","KU50-H4","","plot","8251819","2023135DMEPR_blik_rep1_KU50-H4_12","1","1","12","3","2","test","","25.0","13","149","6","15","26.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","3661327","Rayong11","","plot","8251821","2023135DMEPR_blik_rep1_Rayong11_9","1","1","9","2","2","check","","19.7","13","120","6","11.8","28.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","5706299","Rayong72","R72","plot","8251825","2023135DMEPR_blik_rep1_Rayong72_1","1","1","1","1","1","check","","17.7","13","120","6","10.6","31.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","140368","SM1127-8","","plot","8251818","2023135DMEPR_blik_rep1_SM1127-8_7","1","1","7","2","4","test","","3.0","13","80","3","1.8","12.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","140424","SM1669-5","","plot","8251837","2023135DMEPR_blik_rep1_SM1669-5_14","1","1","14","3","4","test","","8.3","13","150","6","5","10.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","154909","SM2775-2","","plot","8251831","2023135DMEPR_blik_rep1_SM2775-2_2","1","1","2","1","2","test","","8.3","13","95","5","5","15.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","154913","SM2775-4","","plot","8251816","2023135DMEPR_blik_rep1_SM2775-4_13","1","1","13","3","3","test","","11.7","13","126","6","7","17.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","39671","TMEB419","","plot","8251845","2023135DMEPR_blik_rep1_TMEB419_6","1","1","6","2","5","test","","20.0","13","139","6","12","26.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","230102","CM9912-167","","plot","8251852","2023135DMEPR_blik_rep2_CM9912-167_28","2","2","28","6","3","test","","22.5","13","136","6","13.5","19.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","268567","GM1263-6","","plot","8251851","2023135DMEPR_blik_rep2_GM1263-6_19","2","2","19","4","2","test","","8.3","13","141","6","5","17.7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13004","2023135DMEPR_blik","2023135DMEPR_blik","RCBD","","","","no","no","2023-May-19","2024-March-20","553","Bolikham district, Bolikhamxay province","4991871","IBA920057","IBA057","plot","8251839","2023135DMEPR_blik_rep2_IBA920057_21","2","2","21","5","1","test","","5.0","13","115","6","3","11.2"," (Operator: lizbethpino, Time: )"
