studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,number of planted stakes per plot counting|CO_334:0000159,plant stands harvested counting|CO_334:0000010,root number per plot counting|CO_334:0000011,rotted storage root counting|CO_334:0000084,starch content percentage|CO_334:0000071,notes
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",140368,SM1127-8,,plot,8251776,2022134DMEPR_that_rep1_SM1127-8_1,1,1,1,1,1,test,,214,19,14,6,48,0,27.14654003," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",723,IITA-TMS-IBA980581,"98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581",plot,8251807,2022134DMEPR_that_rep1_IBA980581_2,1,1,2,1,2,test,,172.5,16.3,14,6,51,0,18.77597504," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",268567,GM1263-6,,plot,8251771,2022134DMEPR_that_rep1_GM1263-6_3,1,1,3,1,3,test,,178,28.3,14,6,49,0,31.9993921," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",154913,SM2775-4,,plot,8251798,2022134DMEPR_that_rep1_SM2775-4_4,1,1,4,1,4,test,,150,23.7,14,6,53,0,36.79071348," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",154909,SM2775-2,,plot,8251795,2022134DMEPR_that_rep1_SM2775-2_5,1,1,5,1,5,test,,118,38.3,14,6,56,0,27.67688985," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",3661327,Rayong11,,plot,8251772,2022134DMEPR_that_rep1_Rayong11_6,1,1,6,1,6,check,,116.5,23.3,14,4,37,0,31.85769231," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",230102,CM9912-167,,plot,8251769,2022134DMEPR_that_rep1_CM9912-167_7,1,1,7,1,7,test,,248.5,21,14,6,69,0,29.85210526," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",140424,SM1669-5,,plot,8251786,2022134DMEPR_that_rep1_SM1669-5_8,1,1,8,2,7,test,,205,28,14,6,69,2,29.03105981," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",39671,TMEB419,,plot,8251774,2022134DMEPR_that_rep1_TMEB419_9,1,1,9,2,6,test,,252.5,38.3,14,6,67,0,28.34525386," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",4926239,IBA972205,,plot,8251806,2022134DMEPR_that_rep1_IBA972205_10,1,1,10,2,5,test,,47.5,18,14,5,48,0,28.20082902," (Operator: lizbethpino, Time: )"
