studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,number of planted stakes per plot counting|CO_334:0000159,plant height measurement in cm|CO_334:0000018,plant stands harvested counting|CO_334:0000010,root number per plot counting|CO_334:0000011,rotted storage root counting|CO_334:0000084,starch content percentage|CO_334:0000071,notes
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,723,IITA-TMS-IBA980581,"98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581",plot,8251728,2022133DMEPR_laog_rep1_IBA980581_1,1,1,1,1,1,test,,174.5,20.3,14,435,6,57,0,25.13684211," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,140368,SM1127-8,,plot,8251759,2022133DMEPR_laog_rep1_SM1127-8_2,1,1,2,1,2,test,,193.5,25.3,14,440,6,75,0,31.7470009," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,230102,CM9912-167,,plot,8251736,2022133DMEPR_laog_rep1_CM9912-167_3,1,1,3,1,3,test,,232.5,36.7,14,336,6,75,0,27.17250946," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,3661327,Rayong11,,plot,8251751,2022133DMEPR_laog_rep1_Rayong11_4,1,1,4,1,4,check,,235,33.7,14,327.5,6,68,0,32.72592013," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,4926239,IBA972205,,plot,8251748,2022133DMEPR_laog_rep1_IBA972205_5,1,1,5,1,5,test,,83.5,20,14,352.5,6,54,0,26.43103803," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,154913,SM2775-4,,plot,8251724,2022133DMEPR_laog_rep1_SM2775-4_6,1,1,6,1,6,test,,148,14.7,14,330,6,45,0,30.51592633," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,268567,GM1263-6,,plot,8251735,2022133DMEPR_laog_rep1_GM1263-6_7,1,1,7,1,7,test,,203.5,24,14,345,6,51,3,28.49538462," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,154909,SM2775-2,,plot,8251740,2022133DMEPR_laog_rep1_SM2775-2_8,1,1,8,2,7,test,,131.5,39,14,324,6,90,1,30.27050847," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,39671,TMEB419,,plot,8251726,2022133DMEPR_laog_rep1_TMEB419_9,1,1,9,2,6,test,,214,33.3,14,328.5,6,66,0,32.32003469," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,140424,SM1669-5,,plot,8251760,2022133DMEPR_laog_rep1_SM1669-5_10,1,1,10,2,5,test,,235.5,20,14,347.5,5,68,1,34.69860835," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,1342441,IBA980505,,plot,8251742,2022133DMEPR_laog_rep1_IBA980505_11,1,1,11,2,4,test,,60,16.7,14,322.5,4,53,0,22.97598978," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,2451401,KU50,,plot,8251734,2022133DMEPR_laog_rep1_KU50_12,1,1,12,2,3,check,,162.5,42,14,315,6,79,0,37.06872727," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,5706299,Rayong72,R72,plot,8251731,2022133DMEPR_laog_rep1_Rayong72_13,1,1,13,2,2,check,,173.5,43.3,14,362.5,6,83,0,35.5548," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,4991871,IBA920057,IBA057,plot,8251747,2022133DMEPR_laog_rep1_IBA920057_14,1,1,14,2,1,test,,150.5,24,14,302.5,6,37,0,25.59762675," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,154909,SM2775-2,,plot,8251746,2022133DMEPR_laog_rep2_SM2775-2_15,2,2,15,3,1,test,,131.5,33.7,14,340,6,72,0,31.52952381," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,723,IITA-TMS-IBA980581,"98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581",plot,8251732,2022133DMEPR_laog_rep2_IBA980581_16,2,2,16,3,2,test,,106.5,14.7,14,390,3,33,0,20.75272008," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,140424,SM1669-5,,plot,8251761,2022133DMEPR_laog_rep2_SM1669-5_17,2,2,17,3,3,test,,200,30,14,362.5,6,57,2,33.13219697," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,1342441,IBA980505,,plot,8251744,2022133DMEPR_laog_rep2_IBA980505_18,2,2,18,3,4,test,,45,21.3,14,397.5,6,57,0,21.33256881," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,268567,GM1263-6,,plot,8251752,2022133DMEPR_laog_rep2_GM1263-6_19,2,2,19,3,5,test,,218,30.3,14,393,6,62,0,36.39360223," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,4926239,IBA972205,,plot,8251729,2022133DMEPR_laog_rep2_IBA972205_20,2,2,20,3,6,test,,65,29.7,14,320,5,52,0,27.67750678," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,4991871,IBA920057,IBA057,plot,8251750,2022133DMEPR_laog_rep2_IBA920057_21,2,2,21,3,7,test,,200.5,16.7,14,252.5,5,38,0,26.49410289," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13002,2022133DMEPR_laog,2022133DMEPR_laog,RCBD,,,,no,no,2022-December-18,2023-October-21,518,Lao Ngam,3661327,Rayong11,,plot,8251765,2022133DMEPR_laog_rep2_Rayong11_22,2,2,22,4,7,check,,192,28.3,14,357.5,6,73,1,34.06086957," (Operator: lizbethpino, Time: )"
