studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Cassava mosaic disease severity|at harvesting|COMP:0000294,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,number of planted stakes per plot counting|CO_334:0000159,plant height measurement in cm|CO_334:0000018,plant stands harvested counting|CO_334:0000010,root number per plot counting|CO_334:0000011,sprout count discrete counting|CO_334:0000138,starch content percentage|CO_334:0000071,notes
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,39671,TMEB419,,plot,8251555,2022126DMAYT_cham_rep1_TMEB419_1,1,1,1,1,1,test,,0,48,25.75,30,130.1,2,8,30,20.19417476," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,4991871,IBA920057,IBA057,plot,8251544,2022126DMAYT_cham_rep1_IBA920057_2,1,1,2,2,1,test,,0,91.5,22.27272727,30,132,11,7.5,30,18.2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,4926239,IBA972205,,plot,8251562,2022126DMAYT_cham_rep1_IBA972205_3,1,1,3,3,1,test,,0,40.1,3.666666667,30,106.4,6,2.75,30,7.25," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,1342441,IBA980505,,plot,8251557,2022126DMAYT_cham_rep2_IBA980505_4,2,2,4,4,1,test,,0,46.4,19.09090909,30,123.5,11,12.25,27,18.2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,723,IITA-TMS-IBA980581,"98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581",plot,8251558,2022126DMAYT_cham_rep2_IBA980581_5,2,2,5,5,1,test,,0,57.2,24.16666667,30,122.7,12,11.25,29,20.8," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,2451401,KU50,,plot,8251561,2022126DMAYT_cham_rep2_KU50_6,2,2,6,6,1,test,,0,111.7,21.1,30,111.7,10,6,29,16.22037915," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,723,IITA-TMS-IBA980581,"98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581",plot,8251564,2022126DMAYT_cham_rep1_IBA980581_7,1,1,7,1,2,test,,0,72.8,20.625,30,133.2,8,9.5,28,20.8," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,2451401,KU50,,plot,8251547,2022126DMAYT_cham_rep1_KU50_8,1,1,8,2,2,test,,0,121.7,24.44444444,30,121.7,9,8,29,24.8," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,1342441,IBA980505,,plot,8251560,2022126DMAYT_cham_rep1_IBA980505_9,1,1,9,3,2,test,,0,38,16.63636364,30,129.7,11,8,29,20.8," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",12996,2022126DMAYT_cham,2022126DMAYT_cham,RCBD,,,,no,no,2022-July-06,2023-May-03,546,Chamkar Leu district,4926239,IBA972205,,plot,8251545,2022126DMAYT_cham_rep2_IBA972205_10,2,2,10,4,2,test,,0,44.2,18.63636364,30,125.4,11,5,30,17.16341463," (Operator: lizbethpino, Time: )"
