"year","trial_name","trial_type","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","CMD_harvest","height_1st_branch","yield_ha","planted_number_plot","height","harvest_number","root_number","germinated_number_plot","starch_content","shoot_weight_plot","root_weight_water","root_rot_number","germination_perc","starch_yield_ha"
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district","IBA057","2022126DMAYT_cham_rep1_IBA920057_2",1,2,2,1,"test"," (Operator: lizbethpino, Time: )","IBA920057","test",0,915,22.2727272727273,30,1320,11,7.5,30,18.2,NA,NA,NA,100,4.05363636363637
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep1_IBA972205_3",1,3,3,1,"test"," (Operator: lizbethpino, Time: )","IBA972205","test",0,401,3.66666666666667,30,1064,6,2.75,30,7.25,NA,NA,NA,100,0.265833333333334
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep1_IBA980505_9",1,9,3,2,"test"," (Operator: lizbethpino, Time: )","IBA980505","test",0,380,16.6363636363636,30,1297,11,8,29,20.8,NA,NA,NA,96.6666666666667,3.46036363636363
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","2022126DMAYT_cham_rep1_IBA980581_7",1,7,1,2,"test"," (Operator: lizbethpino, Time: )","IITA-TMS-IBA980581","test",0,728,20.625,30,1332,8,9.5,28,20.8,NA,NA,NA,93.3333333333333,4.29
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep1_KU50_8",1,8,2,2,"test"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",0,0,24.4444444444444,30,1217,9,8,29,24.8,NA,NA,NA,96.6666666666667,6.06222222222221
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep1_TMEB419_1",1,1,1,1,"test"," (Operator: lizbethpino, Time: )","TMEB419","test",0,480,25.75,30,1301,2,8,30,20.1941747572816,NA,NA,NA,100,5.20000000000001
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district","IBA057","2022126DMAYT_cham_rep2_IBA920057_12",2,12,6,2,"test"," (Operator: lizbethpino, Time: )","IBA920057","test",0,613,19.1666666666667,30,1118,12,8,30,19.5,NA,NA,NA,100,3.73750000000001
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep2_IBA972205_10",2,10,4,2,"test"," (Operator: lizbethpino, Time: )","IBA972205","test",0,442,18.6363636363636,30,1254,11,5,30,17.1634146341463,NA,NA,NA,100,3.19863636363635
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep2_IBA980505_4",2,4,4,1,"test"," (Operator: lizbethpino, Time: )","IBA980505","test",0,464,19.0909090909091,30,1235,11,12.25,27,18.2,NA,NA,NA,90,3.47454545454546
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","2022126DMAYT_cham_rep2_IBA980581_5",2,5,5,1,"test"," (Operator: lizbethpino, Time: )","IITA-TMS-IBA980581","test",0,572,24.1666666666667,30,1227,12,11.25,29,20.8,NA,NA,NA,96.6666666666667,5.02666666666667
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep2_KU50_6",2,6,6,1,"test"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",0,0,21.1,30,1117,10,6,29,16.2203791469194,NA,NA,NA,96.6666666666667,3.42249999999999
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep2_TMEB419_11",2,11,5,2,"test"," (Operator: lizbethpino, Time: )","TMEB419","test",0,967,26.625,30,1227,8,7,28,23.0704225352113,NA,NA,NA,93.3333333333333,6.14250000000001
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district","IBA057","2022126DMAYT_cham_rep3_IBA920057_15",3,15,3,3,"test"," (Operator: lizbethpino, Time: )","IBA920057","test",0,677,18.0833333333333,30,1270,12,8.25,29,19.3202764976959,NA,NA,NA,96.6666666666667,3.49375
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep3_IBA972205_13",3,13,1,3,"test"," (Operator: lizbethpino, Time: )","IBA972205","test",0,508,13,30,1139,5,3.75,30,10.9,NA,NA,NA,100,1.417
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep3_IBA980505_19",3,19,1,4,"test"," (Operator: lizbethpino, Time: )","IBA980505","test",0,423,28.5,30,1280,10,9,26,18.2,NA,NA,NA,86.6666666666667,5.187
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","2022126DMAYT_cham_rep3_IBA980581_20",3,20,2,4,"test"," (Operator: lizbethpino, Time: )","IITA-TMS-IBA980581","test",0,525,23.75,30,1191,12,10,27,20.8,NA,NA,NA,90,4.94
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep3_KU50_21",3,21,3,4,"test"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",1,0,38.5,30,1191,12,9.25,30,21.1093073593074,NA,NA,NA,100,8.12708333333335
2022,"2022126DMAYT_cham","2022126DMAYT_cham","2022-July-06","2023-May-03","Chamkar Leu district",NA,"2022126DMAYT_cham_rep3_TMEB419_14",3,14,2,3,"test"," (Operator: lizbethpino, Time: )","TMEB419","test",0,169,29.125,30,1149,8,6.75,28,10.6639484978541,NA,NA,NA,93.3333333333333,3.10587500000001
