"year","trial_name","trial_type","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","CMD_infect_plants","height_1st_branch","yield_ha","planted_number_plot","height","harvest_number","root_number","germinated_number_plot","starch_content","shoot_weight_plot","root_weight_water","root_rot_number","germination_perc","starch_yield_ha","CMD_incidence"
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","AR35,AR351","2023127DMEPR_cham_rep1_AR351_6",1,6,2,1,"test"," (Operator: lizbethpino, Time: )","AR35-1","test",0,143,12.4,25,310,5,12,25,24.0529074973544,NA,NA,NA,100,2.98256052967195,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district",NA,"2023127DMEPR_cham_rep1_CR138_9",1,9,2,4,"test"," (Operator: lizbethpino, Time: )","CR138","test",0,160,12,25,302,6,9,24,21.3836114421931,NA,NA,NA,96,2.56603337306317,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","CR241","2023127DMEPR_cham_rep1_CR241_2",1,2,1,2,"test"," (Operator: lizbethpino, Time: )","CR24-16","test",0,298,25.6666666666667,25,298,6,10,20,24.2987012987013,NA,NA,NA,80,6.23666666666668,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district",NA,"2023127DMEPR_cham_rep1_CR52_7",1,7,2,2,"test"," (Operator: lizbethpino, Time: )","CR52A4","test",0,123,22,25,305,7,11,23,28.7173533083645,NA,NA,NA,92,6.31781772784019,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","IBA057","2023127DMEPR_cham_rep1_IBA057_8",1,8,2,3,"test"," (Operator: lizbethpino, Time: )","IBA-920057","test",0,398,7,25,398,8,4,25,10.4991237387148,NA,NA,NA,100,0.734938661710036,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","IBA581","2023127DMEPR_cham_rep1_IBA581_5",1,5,1,5,"test"," (Operator: lizbethpino, Time: )","IBA-980581","test",0,45,23.3333333333333,25,365,6,12,25,22.1307262569832,NA,NA,NA,100,5.16383612662941,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district",NA,"2023127DMEPR_cham_rep1_KU50_3",1,3,1,3,"check"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",1,365,27.7777777777778,25,365,9,13,25,23.5701333333333,NA,NA,NA,100,6.54725925925925,4
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","R72","2023127DMEPR_cham_rep1_R72_1",1,1,1,1,"check"," (Operator: lizbethpino, Time: )","Rayong72","test",7,135,39.75,25,245,8,15,25,25.563418729616,NA,NA,NA,100,10.1614589450224,28
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district",NA,"2023127DMEPR_cham_rep1_TMEB419_4",1,4,1,4,"test"," (Operator: lizbethpino, Time: )","TMEB-419","test",0,360,31.75,25,360,8,10,25,21.2819976139346,NA,NA,NA,100,6.75703424242424,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","AR35,AR351","2023127DMEPR_cham_rep2_AR351_19",2,19,4,4,"test"," (Operator: lizbethpino, Time: )","AR35-1","test",0,150,17.6,25,308,5,14,24,20.6116853932584,NA,NA,NA,96,3.62765662921348,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district",NA,"2023127DMEPR_cham_rep2_CR138_18",2,18,4,3,"test"," (Operator: lizbethpino, Time: )","CR138","test",0,137,18.2857142857143,25,335,7,13,25,27.2477876106195,NA,NA,NA,100,4.98245259165614,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","CR241","2023127DMEPR_cham_rep2_CR241_13",2,13,3,3,"test"," (Operator: lizbethpino, Time: )","CR24-16","test",0,320,20,25,320,8,17,23,26.9995115995116,NA,NA,NA,92,5.39990231990232,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","CR243","2023127DMEPR_cham_rep2_CR243_10",1,10,2,5,"test"," (Operator: lizbethpino, Time: )","CR24-3","test",0,158,28.5714285714286,25,317,7,12,24,22.0434939759036,NA,NA,NA,96,6.29814113597246,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","CR243","2023127DMEPR_cham_rep2_CR243_16",2,16,4,1,"test"," (Operator: lizbethpino, Time: )","CR24-3","test",0,110,23.25,25,217,8,9,23,25.8492073348883,NA,NA,NA,92,6.00994070536153,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district",NA,"2023127DMEPR_cham_rep2_CR52_14",2,14,3,4,"test"," (Operator: lizbethpino, Time: )","CR52A4","test",0,95,19.5,25,305,8,12,25,26.906683480454,NA,NA,NA,100,5.24680327868853,0
2023,"2023127DMEPR_cham","2023127DMEPR_cham","2023-June-01","2024-May-25","Chamkar Leu district","IBA057","2023127DMEPR_cham_rep2_IBA057_15",2,15,3,5,"test"," (Operator: lizbethpino, Time: )","IBA-920057","test",0,130,3.77777777777778,25,365,9,6,25,20.0133185349612,NA,NA,NA,100,0.756058700209646,0
